Year,Quarter,Population
1987,1,404900
1987,2,405855
1987,3,406810
1987,4,407765
1988,1,408720
1988,2,409684
1988,3,410648
1988,4,411612
1989,1,412576
1989,2,413549
1989,3,414522
1989,4,415496
1990,1,416469
1990,2,417451
1990,3,418433
1990,4,419416
1991,1,420398
1991,2,421390
1991,3,422381
1991,4,423373
1992,1,424365
1992,2,426041
1992,3,427717
1992,4,429393
1993,1,431069
1993,2,432772
1993,3,434475
1993,4,436177
1994,1,437880
1994,2,439610
1994,3,441339
1994,4,443069
1995,1,444798
1995,2,446555
1995,3,448312
1995,4,450069
1996,1,451826
1996,2,453611
1996,3,455395
1996,4,457180
1997,1,458965
1997,2,460320
1997,3,461675
1997,4,463031
1998,1,464386
1998,2,465758
1998,3,467129
1998,4,468501
1999,1,469872
1999,2,471260
1999,3,472648
1999,4,474036
2000,1,475423
2000,2,476827
2000,3,478232
2000,4,479636
2001,1,481040
2001,2,482460
2001,3,483881
2001,4,485302
2002,1,486723
2002,2,488268
2002,3,489813
2002,4,491359
2003,1,492904
2003,2,494469
2003,3,496035
2003,4,497600
2004,1,499165
2004,2,500750
2004,3,502335
2004,4,503920
2005,1,505505
2005,2,507110
2005,3,508715
2005,4,510320
2006,1,511925
2006,2,513550
2006,3,515176
2006,4,516801
2007,1,518427
2007,2,520073
2007,3,521719
2007,4,523365
2008,1,525011
2008,2,526678
2008,3,528345
2008,4,530012
2009,1,531680
2009,2,534611
2009,3,537543
2009,4,540475
2010,1,543406
2010,2,546403
2010,3,549399
2010,4,552395
2011,1,555392
2011,2,558454
2011,3,561517
2011,4,564579
2012,1,567642
2012,2,569325
2012,3,571009
2012,4,572693
2013,1,574377
2013,2,576080
2013,3,577784
2013,4,579488
2014,1,581192
2014,2,582366
2014,3,583540
2014,4,584714
2015,1,585888
2015,2,587062
2015,3,588236
2015,4,589410
2016,1,590584
2016,2,591758
2016,3,592932
2016,4,594106
2017,1,595280
2017,2,596454
2017,3,597628
2017,4,598802
2018,1,599976
2018,2,601150
2018,3,602324
2018,4,603498
2019,1,604672
2019,2,605846
2019,3,607020
2019,4,608194
2020,1,609368
2020,2,610542
2020,3,611716
2020,4,612890
2021,1,614064
2021,2,615238
2021,3,616412
2021,4,617586
2022,1,618760
2022,2,619934
2022,3,621108
2022,4,622282
2023,1,623456
2023,2,624630
2023,3,625805
2023,4,626979
2024,1,628153
2024,2,629327
2024,3,630501
2024,4,631675
2025,1,632849
2025,2,634023
2025,3,635197
2025,4,636371
2026,1,637545
2026,2,638719
2026,3,639893
2026,4,641067
2027,1,642241
2027,2,643415
2027,3,644589
2027,4,645763
2028,1,646937
2028,2,648111
2028,3,649285
2028,4,650459
2029,1,651633
2029,2,652807
2029,3,653981
2029,4,655155
2030,1,656329
2030,2,657503
2030,3,658677
2030,4,659851
2031,1,661025
2031,2,662199
2031,3,663373
2031,4,664547
2032,1,665721
2032,2,666895
2032,3,668069
2032,4,669243
2033,1,670418
2033,2,671592
2033,3,672766
2033,4,673940
2034,1,675114
2034,2,676288
2034,3,677462
2034,4,678636
